symbol, buzz, bullish%, current_price, target_mean, target_diff_from_cur, target_diff_hilow, possible_downside, 30dayPositiveChange, 60dayPositiveChange, CurrentStrongBuy, CurrentStrongSell, CurrentPercentPositive
0,2020-07-07 18:04:42.136984,A, 0.5714, 0, 89.21, 81.17, -8.04, 19.0, -16.21, 3, 1, 9, 0
0,2020-07-07 18:04:46.838951,AA, -1, -1, 11.23, 9.72, -1.51, 8.25, -4.48, 3, 3, 6, 0
0,2020-07-07 18:04:51.529195,AAAU, -1, -1, 17.93, -1, -1, -1.0, -1.0, None, None, -1, -1
0,2020-07-07 18:04:56.298756,AACG, -1, -1, 1.37, -1, -1, -1.0, -1.0, None, None, -1, -1
0,2020-07-07 18:05:00.935616,AADR, -1, -1, 54.88, -1, -1, -1.0, -1.0, None, None, -1, -1
0,2020-07-07 18:05:05.532058,AAL, 0.69, 0, 11.91, 15.0, 3.09, 40.0, -10.91, 8, 8, 5, 0
0,2020-07-07 18:05:10.171119,AAMC, -1, -1, 18.0999, -1, -1, -1.0, -1.0, None, None, -1, -1
0,2020-07-07 18:05:15.767936,AAME, -1, -1, 1.68, -1, -1, -1.0, -1.0, None, None, -1, -1
0,2020-07-07 18:05:20.414576,AAN, -1, -1, 43.45, 38.33, -5.12, 41.0, -18.45, -1, -2, 6, 0
0,2020-07-07 18:05:24.981990,AAOI, -1, -1, 11.15, 8.59, -2.56, 5.5, -5.15, 9, 9, 5, 0
0,2020-07-07 18:05:29.592152,AAON, 0.8333, 1, 55.21, 42.5, -12.71, 15.0, -20.21, 0, 0, 0, 2
0,2020-07-07 18:05:34.172124,AAP, 0.7272, 1, 136.68, 126.69, -9.99, 64.0, -41.68, 3, 2, 5, 2
0,2020-07-07 18:05:38.747578,AAPL, 0.6437, 0, 372.69, 308.91, -63.78, 163.03, -164.92, 3, 5, 13, 0
0,2020-07-07 18:05:43.322049,AAT, 1.0, 0, 26.54, 41.6, 15.06, 29.0, -3.54, -2, -2, 2, 0
0,2020-07-07 18:05:47.870349,AAU, -1, -1, 0.5024, -1, -1, -1.0, -1.0, 0, 0, 1, 0
0,2020-07-07 18:05:52.476000,AAWW, 0.8888, 1, 45.92, 48.17, 2.25, 53.0, -16.92, 1, 1, 5, 0
0,2020-07-07 18:05:57.014108,AAXJ, -1, -1, 73.84, -1, -1, -1.0, -1.0, None, None, -1, -1
0,2020-07-07 18:06:01.599861,AAXN, 0.1904, 0, 96.06, 78.11, -17.95, 40.0, -43.06, -3, -3, 4, 0
0,2020-07-07 18:06:06.130044,AB, 0.25, 0, 26.5, 25.17, -1.33, 10.0, -5.5, -1, -1, 5, 0
0,2020-07-07 18:06:10.735752,ABB, 0.5555, 1, 24.0, 20.25, -3.75, 11.26, -9.0, 2, 2, 3, 1
0,2020-07-07 18:06:15.333812,ABBV, 0.7826, 1, 99.35, 93.69, -5.66, 35.0, -29.35, 2, 2, 6, 0
0,2020-07-07 18:06:20.010453,ABC, 1.0, 0, 98.3, 97.2, -1.1, 25.0, -14.3, -2, -2, 4, 0
0,2020-07-07 18:06:25.084347,ABCB, 1.0, 0, 21.79, 29.2, 7.41, 10.0, 3.21, -4, -4, 3, 0
0,2020-07-07 18:06:29.693726,ABEO, 1.0, 0, 3.4, -1, -1, -1.0, -1.0, 3, 3, 4, 0
0,2020-07-07 18:06:34.359530,ABEQ, -1, -1, 22.263, -1, -1, -1.0, -1.0, None, None, -1, -1
0,2020-07-07 18:06:38.910377,ABEV, -1, -1, 2.71, 3.68, 0.97, 3.64, -0.65, 6, 6, 2, 0
0,2020-07-07 18:06:43.487801,ABG, 1.0, 1, 85.73, 65.83, -19.9, 43.0, -38.73, 1, 1, 4, 0
0,2020-07-07 18:06:48.112920,ABIO, 1.0, 0, 6.43, 7.0, 0.57, 0.0, 0.57, 0, 0, 2, 0
0,2020-07-07 18:06:52.663042,ABM, 0.2666, 1, 33.82, 30.25, -3.57, 13.0, -8.82, 2, 2, 3, 0
0,2020-07-07 18:06:57.295200,ABMD, 1.0, 0, 264.59, 204.4, -60.19, 78.0, -112.59, 3, 3, 7, 0
0,2020-07-07 18:07:01.913845,ABR, -1, -1, 8.14, 10.0, 1.86, 8.5, -2.14, 0, 0, 1, 0
0,2020-07-07 18:07:06.486390,ABR-A, -1, -1, None, -1, -1, -1.0, -1.0, None, None, -1, -1
0,2020-07-07 18:07:11.075610,ABR-B, -1, -1, None, -1, -1, -1.0, -1.0, None, None, -1, -1
0,2020-07-07 18:07:15.763290,ABR-C, -1, -1, 0.0, -1, -1, -1.0, -1.0, None, None, -1, -1
0,2020-07-07 18:07:20.318953,ABT, 0.6545, 1, 92.46, 102.13, 9.67, 34.0, -13.46, -3, -2, 8, 0
0,2020-07-07 18:07:24.905361,ABTX, 1.0, 0, 23.17, 28.67, 5.5, 5.0, 3.83, 7, 7, 4, 0
0,2020-07-07 18:07:42.355588,A, 0.5714, 0, 89.21, 81.17, -8.04, 19.0, -16.21, 3, 1, 9, 0, 80.0
0,2020-07-07 18:07:46.968969,AA, -1, -1, 11.23, 9.72, -1.51, 8.25, -4.48, 3, 3, 6, 0, 73.0
0,2020-07-07 18:10:08.206660,A, 0.5714, 0, 89.21, 81.17, -8.04, 19.0, -16.21, 3, 1, 9, 0, 80.0
0,2020-07-07 18:10:12.877841,AA, -1, -1, 11.23, 9.72, -1.51, 8.25, -4.48, 3, 3, 6, 0, 73.0
0,2020-07-07 18:10:17.624007,AAAU, -1, -1, 17.93, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:10:22.314434,AACG, -1, -1, 1.37, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:10:27.001059,AADR, -1, -1, 54.88, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:10:31.675172,AAL, 0.69, 0, 11.91, 15.0, 3.09, 40.0, -10.91, 8, 8, 5, 0, 55.00000000000001
0,2020-07-07 18:10:36.370343,AAMC, -1, -1, 18.0999, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:10:41.049467,AAME, -1, -1, 1.68, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:10:45.823562,AAN, -1, -1, 43.45, 38.33, -5.12, 41.0, -18.45, -1, -2, 6, 0, 67.0
0,2020-07-07 18:10:50.527126,AAOI, -1, -1, 11.15, 8.59, -2.56, 5.5, -5.15, 9, 9, 5, 0, 73.0
0,2020-07-07 18:10:55.279472,AAON, 0.8333, 1, 55.21, 42.5, -12.71, 15.0, -20.21, 0, 0, 0, 2, 0.0
0,2020-07-07 18:11:00.043486,AAP, 0.7272, 1, 136.68, 126.69, -9.99, 64.0, -41.68, 3, 2, 5, 2, 52.0
0,2020-07-07 18:11:04.789193,AAPL, 0.6437, 0, 372.69, 308.91, -63.78, 163.03, -164.92, 3, 5, 13, 0, 84.0
0,2020-07-07 18:11:09.508028,AAT, 1.0, 0, 26.54, 41.6, 15.06, 29.0, -3.54, -2, -2, 2, 0, 45.0
0,2020-07-07 18:11:14.251362,AAU, -1, -1, 0.5024, -1, -1, -1.0, -1.0, 0, 0, 1, 0, 86.0
0,2020-07-07 18:11:19.123286,AAWW, 0.8888, 1, 45.92, 48.17, 2.25, 53.0, -16.92, 1, 1, 5, 0, 69.0
0,2020-07-07 18:11:23.909108,AAXJ, -1, -1, 73.84, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:11:28.628488,AAXN, 0.1904, 0, 96.06, 78.11, -17.95, 40.0, -43.06, -3, -3, 4, 0, 73.0
0,2020-07-07 18:11:33.361286,AB, 0.25, 0, 26.5, 25.17, -1.33, 10.0, -5.5, -1, -1, 5, 0, 71.0
0,2020-07-07 18:11:38.074642,ABB, 0.5555, 1, 24.0, 20.25, -3.75, 11.26, -9.0, 2, 2, 3, 1, 67.0
0,2020-07-07 18:11:42.774943,ABBV, 0.7826, 1, 99.35, 93.69, -5.66, 35.0, -29.35, 2, 2, 6, 0, 57.99999999999999
0,2020-07-07 18:11:47.811894,ABC, 1.0, 0, 98.3, 97.2, -1.1, 25.0, -14.3, -2, -2, 4, 0, 50.0
0,2020-07-07 18:11:52.512546,ABCB, 1.0, 0, 21.79, 29.2, 7.41, 10.0, 3.21, -4, -4, 3, 0, 57.99999999999999
0,2020-07-07 18:11:57.254961,ABEO, 1.0, 0, 3.4, -1, -1, -1.0, -1.0, 3, 3, 4, 0, 93.0
0,2020-07-07 18:12:01.923445,ABEQ, -1, -1, 22.263, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:12:06.609092,ABEV, -1, -1, 2.71, 3.68, 0.97, 3.64, -0.65, 6, 6, 2, 0, 56.99999999999999
0,2020-07-07 18:12:11.294267,ABG, 1.0, 1, 85.73, 65.83, -19.9, 43.0, -38.73, 1, 1, 4, 0, 43.0
0,2020-07-07 18:12:15.976930,ABIO, 1.0, 0, 6.43, 7.0, 0.57, 0.0, 0.57, 0, 0, 2, 0, 86.0
0,2020-07-07 18:12:20.873105,ABM, 0.2666, 1, 33.82, 30.25, -3.57, 13.0, -8.82, 2, 2, 3, 0, 78.0
0,2020-07-07 18:12:25.923571,ABMD, 1.0, 0, 264.59, 204.4, -60.19, 78.0, -112.59, 3, 3, 7, 0, 81.0
0,2020-07-07 18:12:30.816574,ABR, -1, -1, 8.14, 10.0, 1.86, 8.5, -2.14, 0, 0, 1, 0, 71.0
0,2020-07-07 18:12:35.587140,ABR-A, -1, -1, None, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
